player_name,country,teams_played_in,kd_ratio,rating,total_kills,headshot_percentage
mir,Russia,"['Spirit', 'Vega Squadron', 'Gambit']",1.15,1.1,19402,52.2
HEN1,Brazil,"['Immortals', 'FURIA', 'Luminosity']",1.21,1.1,19719,28.6
aliStair,Australia,"['Renegades', 'ORDER', 'Chiefs']",1.17,1.1,19355,35.1
h4rn,Bulgaria,"['FATE', 'Fiend']",1.18,1.1,9803,29.1
Ax1Le,Russia,"['Gambit Youngsters', 'Gambit']",1.16,1.1,17753,48.9
dumau,Brazil,"['GODSENT', 'Yeah']",1.18,1.1,8417,41.3
Calyx,Turkey,"['Eternal Fire', 'Space Soldiers', 'DarkPassage']",1.16,1.1,20404,56.9
moose,Canada,"['eUnited', 'Rise Nation']",1.16,1.1,14503,44.1
nython,Brazil,"['paiN', 'RED Canids', 'Paquetá']",1.15,1.1,9580,37.9
xccurate,Indonesia,"['TYLOO', 'Recca', 'BTRG', 'NKT']",1.15,1.09,13334,31.2
mixwell,Spain,"['OpTic', 'Movistar Riders']",1.13,1.09,16275,38.1
allu,Finland,"['ENCE', 'NIP', 'FaZe']",1.16,1.09,31240,28.6
electroNic,Russia,"['Natus Vincere', 'FlipSid3']",1.14,1.09,25165,50.5
Farlig,Denmark,"['Copenhagen Flames', 'FunPlus Phoenix', 'GODSENT']",1.16,1.09,13265,33.4
syrsoN,Germany,"['BIG', 'ALTERNATE aTTaX', 'Sprout']",1.16,1.09,32760,29.6
lollipop21k,Belarus,"['Nemiga', 'GoodJob']",1.12,1.09,23157,49.2
floppy,United States,"['Cloud9', 'Singularity']",1.13,1.09,15453,49.4
PwnAlone,United States,"['Party Astronauts', 'New England Whalers', 'High Coast']",1.15,1.09,16836,31.8
Spinx,Israel,"['ENCE', 'c0ntact']",1.14,1.09,7918,56.9
GeT_RiGhT,Sweden,['NIP'],1.15,1.09,33271,49.3
JUGi,Denmark,"['Heroic', 'OpTic', 'Tricked', 'North']",1.18,1.09,17527,27.8
dexter,Australia,"['MOUZ', 'Grayhound', 'Renegades']",1.13,1.09,18309,48.8
Cooper,United States,"['Swole Patrol', 'eUnited', 'Triumph']",1.16,1.09,14332,32.3
Sonic,South Africa,"['Bravado', 'Extra Salt', 'Cloud9']",1.14,1.09,17758,46.6
JOTA,Brazil,"['MIBR', 'Bravos', 'Keyd', 'Santos']",1.14,1.09,7352,41.5
zehN,Finland,"['GODSENT', 'HAVU', 'PENTA', 'FunPlus Phoenix']",1.13,1.09,20665,46
ZOREE,Finland,"['HAVU', 'iGame.com', 'SJ']",1.16,1.09,31759,32.2
NAF,Canada,"['Liquid', 'OpTic']",1.16,1.09,29440,41.8
gas,China,"['Wings Up', 'LGD', 'EDG', 'Aster']",1.09,1.09,9038,60.3
cynic,United States,"['Party Astronauts', 'Triumph']",1.15,1.09,11994,40.7
ryx,United States,"['Echo Fox', 'Splyce', 'Ghost', 'Dignitas', 'Tempo Storm', 'Conquest']",1.14,1.09,9797,36.3
mezii,United Kingdom,"['fnatic', 'Endpoint', 'GamerLegion', 'Cloud9', 'Vexed']",1.14,1.09,9829,49.8
BL1TZ,Australia,"['Chiefs', 'Legacy', 'AVANT', 'Funky Monkeys']",1.13,1.09,13957,43
ScreaM,Belgium,"['Envy', 'G2', 'Titan', 'VeryGames']",1.13,1.09,27501,68.1
EliGE,United States,['Liquid'],1.11,1.09,31338,48.9
HaZR,Australia,"['Looking For Org', 'AVANT', 'Breakaway', 'Dire Wolves']",1.1,1.09,14687,55.9
faveN,Germany,"['Sprout', 'EURONICS']",1.13,1.09,25954,54.4
dennyslaw,Bulgaria,['SKADE'],1.14,1.09,22051,31.4
biguzera,Brazil,['paiN'],1.15,1.09,11066,51.3
nex,Germany,"['BIG', 'MOUZ']",1.13,1.09,21063,51.5
fer,Brazil,"['SK', 'MIBR', 'Luminosity']",1.11,1.09,27300,44.9
k0nfig,Denmark,"['Dignitas', 'OpTic', 'Complexity', 'North']",1.09,1.09,30190,55.8
valde,Denmark,"['OG', 'North', 'Heroic']",1.13,1.09,24018,46.8
dupreeh,Denmark,"['Astralis', 'TSM']",1.14,1.09,36431,50.6
nukkye,Lithuania,"['Imperial', 'HellRaisers', 'NoChance']",1.13,1.08,11227,39.2
Attacker,China,"['TYLOO', 'Flash']",1.13,1.08,23926,46.4
junior,United States,"['Complexity', 'Triumph', 'Bad News Bears', 'FURIA']",1.18,1.08,8596,29.3
exit,Brazil,"['MIBR', 'Sharks']",1.17,1.08,12707,45.3
Magisk,Denmark,"['Astralis', 'SK', 'Dignitas']",1.14,1.08,25858,47.5
Savage,China,"['VG.CyberZen', 'ViCi', 'CyberZen', '5POWER']",1.14,1.08,15647,37
Machinegun,Mongolia,"['TheMongolz', 'Mazaalai', 'Splyce']",1.09,1.08,8143,50
DJOXiC,Serbia,"['Binary Dragons', 'iNation', 'Valiance']",1.15,1.08,9002,29.8
Detrony,South Africa,['Bravado'],1.13,1.08,7633,34.7
Summer,China,"['TYLOO', 'Flash']",1.14,1.08,23556,48.8
Hatz,Australia,"['Renegades', 'ORDER', 'Kings']",1.14,1.08,17120,50.8
keev,Germany,"['ALTERNATE aTTaX', 'BIG', 'KILLERFISH']",1.12,1.08,11408,29.1
felps,Brazil,"['SK', 'GODSENT', 'Immortals', 'Tempo Storm']",1.09,1.08,19490,43.9
draken,Sweden,"['Epsilon', 'NIP', 'Red Reserve']",1.15,1.08,20821,31
sergej,Finland,"['GORILLAZ', 'ENCE', 'HAVU']",1.14,1.08,14855,48.2
pz,Australia,"['VERTEX', 'TRUCKERS WITH ATTITUDE', 'Airborne']",1.14,1.08,7962,29.3
ShahZaM,United States,"['Complexity', 'Misfits', 'Echo Fox', 'Conquest', 'OpTic']",1.13,1.08,18509,34
jayzaR,Sweden,"['Valiance', 'Enyoy']",1.1,1.08,10382,36.3
FL1T,Russia,['forZe'],1.13,1.08,24004,46.9
Ryxxo,Denmark,"['Tricked', 'Singularity']",1.14,1.08,15729,33
MICHU,Poland,"['Virtus.pro', 'Kinguin', 'CSGL']",1.1,1.08,33874,50.7
hAdji,France,"['LDLC', 'EnVyUs Academy', '3DMAX']",1.11,1.08,21859,48.9
Rickeh,Australia,"['ORDER', 'CLG', 'Rogue', 'Renegades']",1.15,1.07,17589,37.8
ptr,United States,"['Bad News Bears', 'NRG', 'Complexity']",1.15,1.07,20902,26
slaxz-,Germany,"['Sprout', 'ALTERNATE aTTaX']",1.14,1.07,16323,29.6
Impulse,Serbia,"['Valiance', 'ONYX', 'lvlUP', 'RESISTANCE']",1.12,1.07,14644,35.4
dapr,United States,['eUnited'],1.1,1.07,11313,44.1
nicoodoz,Denmark,['Copenhagen Flames'],1.15,1.07,13211,31.3
YEKINDAR,Latvia,"['pro100', 'Virtus.pro', 'EPG']",1.07,1.07,21415,59.2
Liazz,Australia,"['Renegades', 'ORDER', '100 Thieves', 'Kings', 'Athletico', 'EXTREMUM']",1.14,1.07,17464,45.8
meyern,Argentina,"['Furious', 'MIBR', 'Isurus', 'Sharks']",1.1,1.07,8080,54.1
NaToSaphiX,Denmark,"['Sprout', 'Nordavind']",1.16,1.07,17805,36.8
shox,France,"['G2', 'Vitality', 'Envy']",1.11,1.07,38385,48.8
iDISBALANCE,Russia,"['Nemiga', 'Spirit']",1.14,1.07,16215,27
autimatic,United States,"['Cloud9', 'Gen.G']",1.11,1.07,22601,44.3
fejtZ,Estonia,"['SMASH', 'ArchAngels']",1.1,1.07,14402,46
jks,Australia,"['Renegades', 'Complexity', '100 Thieves']",1.12,1.07,21807,52.9
smike,Ukraine,"[""spray'n'pray"", 'pro100', 'ACG', 'eXplosive', 'k1ck']",1.08,1.07,9299,33.1
NikoM,Argentina,"['TeamOne', 'Isurus', 'DETONA']",1.11,1.07,8906,46.3
trk,Brazil,"['TeamOne', 'MIBR']",1.11,1.07,15052,48.2
hallzerk,Norway,"['Dignitas', 'Nordavind']",1.11,1.07,14681,34.1
dycha,Poland,"['ENCE', 'Sprout', 'Aristocracy']",1.09,1.07,15005,53.8
xand,Brazil,"['INTZ', 'Yeah']",1.1,1.07,9681,50.2
paz,Turkey,"['Space Soldiers', 'Sangal']",1.11,1.07,20217,51.2
CRUC1AL,Netherlands,"['Endpoint', 'Epsilon']",1.11,1.07,27614,28.9
InfrequeNt,Australia,"['Athletico', 'Tainted Minds', 'Chiefs']",1.11,1.07,8937,33.8
HObbit,Kazakhstan,"['Gambit', 'Winstrike']",1.11,1.07,21968,46.6
boltz,Brazil,"['Immortals', 'Luminosity', 'SK', 'MIBR']",1.13,1.07,23379,39.4
EspiranTo,Lithuania,"['Imperial', 'Valiance', 'CR4ZY', 'c0ntact']",1.08,1.07,16973,59.9
WorldEdit,Russia,"['FlipSid3', 'pro100', 'Winstrike']",1.11,1.07,25226,28
QKA,China,"['5POWER', 'UYA', 'BOOT']",1.1,1.07,7690,40.4
FalleN,Brazil,"['SK', 'MIBR', 'Luminosity']",1.15,1.07,27904,30.8
somebody,China,['TYLOO'],1.1,1.07,23702,45.8
Brollan,Sweden,"['fnatic', 'GODSENT']",1.09,1.07,18732,52.5
shroud,Canada,['Cloud9'],1.12,1.07,12588,52.9
Pimp,Denmark,"['Dignitas', 'SK', 'Liquid', 'CPH Wolves']",1.13,1.07,18116,46.6
fame,Russia,"['K23', 'SG.pro']",1.1,1.07,9589,57.6
hardzao,Brazil,"['paiN', 'DETONA']",1.14,1.07,12073,47.1
anarkez,Israel,"['Finest', 'Secret']",1.11,1.07,12819,30.8
roeJ,Denmark,"['Copenhagen Flames', 'MAD Lions', 'Tricked']",1.09,1.07,17051,55.5
shz,Brazil,"['Luminosity', 'Imperial', 'MIBR', 'INTZ', 'BOOM']",1.11,1.07,14776,51.2
chelo,Brazil,"['MIBR', 'INTZ', 'Luminosity']",1.1,1.07,16149,60.9
DD,China,"['TYLOO', 'OneThree']",1.1,1.07,17368,41.9
broky,Latvia,"['FaZe', 'Epsilon']",1.14,1.06,12148,38.6
NikkeZ,Australia,"['Ground Zero', 'Athletico', 'Legacy']",1.08,1.06,7677,46.5
snatchie,Poland,"['AGO', 'Virtus.pro', 'Sprout']",1.09,1.06,30062,29.3
zhokiNg,China,"['ViCi', 'VG.CyberZen']",1.07,1.06,22986,51
ofnu,New Zealand,"['Tainted Minds', 'Chiefs', 'AVANT', 'Winterfox']",1.1,1.06,15793,48.9
AnJ,Denmark,"['NRG', 'Singularity', 'Tricked']",1.11,1.06,7530,50.7
Ethan,United States,"['NRG', 'CLG', 'Evil Geniuses']",1.09,1.06,18853,49.4
Happy,France,"['Envy', 'LDLC']",1.11,1.06,28022,41.2
acoR,Denmark,"['Tricked', 'North Academy', 'MAD Lions', 'MOUZ']",1.11,1.06,19475,38.1
b1t,Ukraine,"['Natus Vincere', 'NAVI Junior']",1.11,1.06,7855,68.4
SHiPZ,Bulgaria,"['SKADE', 'Windigo']",1.07,1.06,32404,50
COLDYY1,Ukraine,['Spirit'],1.11,1.06,17902,55.1
flying,China,['Invictus'],1.08,1.06,7736,50.7
SLOWLY,China,"['TYLOO', 'EHOME']",1.07,1.06,10108,59.4
Valiance,Australia,"['ORDER', 'Paradox']",1.1,1.06,11723,51.5
Skadoodle,United States,['Cloud9'],1.15,1.06,18365,24.8
pancc,Brazil,"['W7M', 'Sharks']",1.08,1.06,11087,53.6
b4rtiN,Brazil,"['GODSENT', 'TeamOne']",1.1,1.06,9496,55.3
koosta,United States,"['CLG', 'Ghost', 'Gen.G', 'Enemy']",1.08,1.06,18522,37.3
Maka,France,"['Heretics', 'LDLC', '3DMAX']",1.1,1.06,22108,36
suNny,Finland,"['ENCE', 'MOUZ', 'PENTA']",1.07,1.06,25460,47.4
tucks,Australia,['Chiefs'],1.1,1.06,12952,43.9
TOR,Thailand,"['Signature', 'Beyond']",1.09,1.06,8271,28.9
olofmeister,Sweden,"['fnatic', 'FaZe']",1.1,1.06,29037,46.6
malbsMd,Guatemala,"['TeamOne', 'Infinity']",1.04,1.06,10096,62.9
nexa,Serbia,"['G2', 'Valiance', 'Imperial']",1.1,1.05,22808,51
Gratisfaction,New Zealand,"['Grayhound', 'Renegades', '100 Thieves', 'Immunity', 'EXTREMUM']",1.12,1.05,16191,31.9
KEi,Poland,"['AVEZ', 'Anonymo', 'Sprout']",1.05,1.05,12649,46.4
REDSTAR,Bulgaria,"['Fiend', 'Bpro']",1.11,1.05,11529,48.3
rallen,Poland,"['Kinguin', 'AGO']",1.1,1.05,33560,43
Sobol,Poland,"['Wisla Krakow', 'PACT']",1.08,1.05,15028,52.1
bottle,China,"['Invictus', 'Born Of Fire', 'Eclipse', '5POWER', 'CyberZen']",1.06,1.05,14489,56.8
iM,Romania,"['GamerLegion', 'Nexus']",1.06,1.05,15153,48.7
tabseN,Germany,"['BIG', 'PENTA', 'MOUZ']",1.04,1.05,36872,48.9
ISSAA,Jordan,"['HellRaisers', 'OG']",1.09,1.05,16229,55.5
zeph,Australia,"['ORDER', 'Chiefs', 'Ground Zero']",1.06,1.05,10452,48.7
Rainwaker,Bulgaria,['SKADE'],1.1,1.05,20281,42.5
JW,Sweden,['fnatic'],1.07,1.05,37047,36.6
Ramz1kBO$$,Kazakhstan,"['Tengri', 'Syman']",1.07,1.05,8110,33.8
TeSeS,Denmark,"['Heroic', 'Copenhagen Flames']",1.07,1.05,15351,55.3
HZ,China,"['TYLOO', 'CyberZen', 'AllGamers']",1.08,1.05,9305,49.4
cajunb,Denmark,"['North', 'TSM', 'OpTic', 'Dignitas']",1.1,1.05,31980,41
mou,Kazakhstan,"['Gambit', 'K23', 'HellRaisers', 'Syman']",1.1,1.05,28048,28
juanflatroo,Kosovo,"['BLINK', 'Secret']",1.04,1.05,10762,57.2
Grim,United States,"['Liquid', 'Triumph', 'Dignitas', 'Spacestation']",1.05,1.05,16450,47.9
sdy,Ukraine,['Spirit'],1.11,1.05,19254,50.8
KRIMZ,Sweden,['fnatic'],1.1,1.05,32732,40.8
Marcelious,Norway,"['Apeks', '777', 'NOREG']",1.08,1.05,8902,31.2
yay,United States,"['Complexity', 'Orgless']",1.05,1.05,12452,46.7
Qikert,Kazakhstan,"['AVANGAR', 'Virtus.pro']",1.09,1.05,22914,56.4
refrezh,Denmark,"['Heroic', 'Fragsters', 'Copenhagen Flames', 'Tricked', 'OpTic']",1.08,1.05,17918,49.4
SicK,United States,"['Rogue', 'Misfits', 'TSM']",1.07,1.05,15002,49.8
NEEX,Poland,"['Izako Boars', 'ESC']",1.08,1.05,8076,31.3
Aerial,Finland,"['HAVU', 'ENCE']",1.07,1.05,17881,41.6
stavn,Denmark,"['Heroic', 'Fragsters']",1.07,1.05,21088,43.1
loWel,Spain,"['Movistar Riders', 'PENTA', 'MOUZ']",1.1,1.05,18549,47.5
Flarich,Latvia,"['HellRaisers', 'pro100']",1.1,1.05,19389,55.2
raafa,Brazil,"['W7M', 'Keyd']",1.1,1.05,11650,27.4
Zellsis,United States,"['Swole Patrol', 'Lazarus']",1.07,1.05,11657,46.4
flusha,Sweden,['fnatic'],1.08,1.05,34701,42
WolfY,United States,"['ECSTATIC', 'Lyngby Vikings', 'Secret Club']",1.11,1.05,9766,34.7
rommi,Russia,"['Spirit Academy', 'HOLLYWOOD', 'PLINK', '1337']",1.06,1.05,9899,50.8
Bwills,United States,"['Triumph', 'Infamous']",1.07,1.05,13698,51.4
cadiaN,Denmark,"['Heroic', 'Rogue', 'SK']",1.1,1.05,26511,27.6
kabal,Mongolia,"['5POWER', 'TheMongolz', 'TIGER']",1.08,1.04,14338,46
malta,Australia,"['Grayhound', 'Chiefs', 'Renegades']",1.09,1.04,17507,39.7
MarKE,Mexico,"['Extra Salt', 'eUnited', 'Swole Patrol']",1.09,1.04,16750,53.1
Swahn,United States,"['Bad News Bears', 'iNTACT', 'Detonate', 'Bushido Boyz']",1.09,1.04,6902,25.5
Kjaerbye,Denmark,"['North', 'Dignitas', 'Astralis']",1.08,1.04,28410,52.9
afro,France,"['HEET', 'DBL PONEY', 'LDLC']",1.09,1.04,10077,35.3
FASHR,Netherlands,"['ECSTATIC', 'Lyngby Vikings', 'Defusekids']",1.05,1.04,13083,49
n0rb3r7,Russia,"['K23', 'Winstrike', 'Syman']",1.04,1.04,20194,50.8
DavCost,Russia,"['INDE IRAE', 'Spirit', '1WIN']",1.09,1.04,23087,32.5
zewsy,New Zealand,"['Tainted Minds', 'Chiefs', 'Winterfox']",1.06,1.04,11142,41
STOMP,Poland,"['x-kom', 'Izako Boars', 'Illuminar', 'HONORIS']",1.1,1.04,15139,26.1
aumaN,China,['ViCi'],1.08,1.04,15892,41.7
jkaem,Norway,"['Apeks', 'Renegades', 'FaZe', '100 Thieves']",1.05,1.04,24647,51.6
Snakes,United States,"['Spacestation', 'The Quest', 'SoaR']",1.07,1.04,7287,43.3
Hiko,United States,"['Liquid', 'Rogue']",1.1,1.04,16611,53.9
Geniuss,Thailand,"['Signature', 'Beyond', 'Lucid Dream']",1.04,1.04,7345,56.4
Snax,Poland,"['Virtus.pro', 'Anonymo']",1.08,1.04,39086,36.5
KHTEX,Brazil,"['Paquetá', 'Wild', 'Virtue']",1.09,1.04,10950,45.5
Lucky,Denmark,"['Tricked', 'Astralis']",1.09,1.04,8079,40.5
HSK,Korea,"['MVP PK', 'MVP Project', 'GOSU']",1.1,1.04,9678,31.1
motm,United States,"['ATK', 'Cloud9']",1.05,1.04,17181,51
fnx,Brazil,"['Imperial', 'Luminosity', 'SK', 'Immortals', 'RED Canids', 'Não Tem Como']",1.08,1.04,11678,49.7
imoRR,Turkey,"['Eternal Fire', 'Sangal', 'Royal Bandits']",1.02,1.04,11800,50.9
twist,Sweden,"['GODSENT', 'fnatic', 'NIP']",1.06,1.04,31654,41.3
Bubzkji,Denmark,"['Tricked', 'Fragsters', 'MAD Lions', 'Astralis']",1.07,1.04,15534,50.8
buster,Kazakhstan,"['AVANGAR', 'Virtus.pro']",1.1,1.04,22339,47.9
eraa,Sweden,['GamerLegion'],1.07,1.04,10697,33.2
ANDROID,Canada,"['Complexity', 'Envy']",1.07,1.04,15394,50.7
LOVEYY,China,"['Flash', 'VG.CyberZen', 'VG.Flash']",1.06,1.04,12939,52
Kntz,Thailand,"['Alpha Red', 'Beyond', 'NSPR']",1.08,1.04,9085,47.3
Maden,Montenegro,"['ENCE', 'GODSENT', 'FunPlus Phoenix', 'SMASH']",1.04,1.04,12632,51.5
Lucky,France,"['Heretics', 'DBL PONEY', 'G2', '3DMAX']",1.07,1.03,21748,41.5
Davidp,Belgium,"['3DMAX', 'Heretics']",1.08,1.03,14255,39.7
tb,China,"['VG.CyberZen', 'CyberZen', 'ViCi']",1.07,1.03,11088,49.9
dEE,Serbia,"['lvlUP', '4glory', 'Juggernauts', 'BLUEJAYS']",1.07,1.03,8169,33.5
tarik,United States,"['CLG', 'Evil Geniuses', 'Cloud9', 'OpTic']",1.05,1.03,26620,37.8
land1n,Brazil,"['paiN', 'Wild', 'Case', 'BigGods']",1.1,1.03,13320,31
F1KU,Poland,['AGO'],1.04,1.03,11046,55
dobu,Mongolia,"['5POWER', 'TIGER', 'TheMongolz']",1.05,1.03,14386,54.5
REZ,Sweden,"['NIP', 'Epsilon']",1.06,1.03,24506,49.5
rAge,Ukraine,"['Hard Legion', 'Windigo Academy']",1.11,1.03,6850,31.8
NK4Y,Bulgaria,"['Outlaws', 'Bpro', 'ex-Epsilon']",1.05,1.03,8697,62.1
sjuush,Denmark,"['Heroic', 'Tricked', 'MAD Lions']",1.07,1.03,14395,52.6
JUST,Portugal,"['SAW', 'OFFSET']",1.06,1.03,15585,55.3
USTILO,Australia,"['Renegades', 'ORDER']",1.05,1.03,20847,46
Subroza,Canada,"['Ghost', 'FRENCH CANADIANS', 'CLG', 'Lazarus', 'Orgless']",1.03,1.03,11748,48.4
TRAVIS,Russia,['1WIN'],1.05,1.03,9024,54.7
JonY BoY,Argentina,"['Gale Force', 'Miami Flamingos', 'Furious', 'Isurus']",1.05,1.03,7530,34.8
max,Uruguay,"['9z', 'Isurus', 'Furious']",1.06,1.03,9999,45.8
juho,Finland,"['ENCE', 'iGame.com']",1.02,1.03,14492,45.7
DannyG,Australia,"['Rooster', 'Paradox']",1.04,1.03,6994,46.5
yam,Australia,"['Renegades', 'Tainted Minds']",1.07,1.03,9755,34.6
fleav,Hungary,"['Budapest Five', 'GameAgents']",1.03,1.03,10494,40.5
alex,Spain,['Movistar Riders'],1.06,1.03,23291,45.8
Relaxa,Sweden,"['Chaos', 'Red Reserve', 'Japaleno', 'Apeks', 'Galaxy Racer']",1.1,1.03,21475,30.2
Lucaozy,Brazil,"['Sharks', 'DETONA', 'Reapers']",1.06,1.03,7353,50.7
znajder,Sweden,"['GODSENT', 'fnatic', 'EURONICS']",1.06,1.03,19778,47.9
DEV7L,Czech Republic,['eXtatus'],1.06,1.03,9988,34.2
AiyvaN,Ukraine,"['pro100', ""spray'n'pray""]",1.05,1.03,12635,37.8
DiMKE,Serbia,"['4glory', 'lvlUP', 'RESISTANCE', 'ONYX']",1.04,1.03,11835,46.9
captainMo,China,"['TYLOO', 'OneThree']",1.04,1.03,14956,40.2
phzy,Sweden,"['Young Ninjas', 'NIP']",1.08,1.03,8129,28.9
KENSI,Russia,"['forZe', 'ex-ETHEREAL']",1.08,1.03,8718,55.3
rain,Norway,['FaZe'],1.03,1.03,29498,56.2
Thomas,United Kingdom,['Endpoint'],1.05,1.03,17428,41.5
